arquivo,escopo,nome,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs
great_tables/_modify_rows.py,funcao,_calculate_summary_row_from_subset,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
great_tables/_modify_rows.py,funcao,grand_summary_rows,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
great_tables/_modify_rows.py,funcao,_calculate_summary_row,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
great_tables/_heading.py,funcao,tab_header,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/_tab_create_modify.py,funcao,tab_style,3,8,4,8,11,12,28.7549,41.5132,1.5,62.2698,3.4594,0.0138
great_tables/_tab_create_modify.py,funcao,text_transform,2,3,2,3,5,5,6.7549,11.6096,1.0,11.6096,0.645,0.0039
great_tables/_tab_create_modify.py,funcao,text_replace,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
great_tables/_tab_create_modify.py,funcao,text_case_match,5,11,7,14,16,21,49.6634,84.0,3.1818,267.2727,14.8485,0.028
great_tables/_tab_create_modify.py,funcao,text_case_when,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
great_tables/gt.py,funcao,_apply_text_transforms,2,3,2,3,5,5,6.7549,11.6096,1.0,11.6096,0.645,0.0039
great_tables/gt.py,funcao,_apply_text_transforms_stub,5,8,5,9,13,14,35.6096,51.8062,2.8125,145.7048,8.0947,0.0173
great_tables/gt.py,funcao,_apply_text_transforms_boxhead,4,7,4,7,11,11,27.6515,38.0537,2.0,76.1075,4.2282,0.0127
great_tables/gt.py,funcao,__init__,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/gt.py,funcao,_repr_html_,0,0,0,0,0,0,0,0,0,0,0,0
great_tables/gt.py,funcao,_render_formats,0,0,0,0,0,0,0,0,0,0,0,0
